ID,Seed,Levels,Wall_ins_thickness,Roof_ins_thickness,Ground_ins_thickness,Wnd_density_south,Wnd_density_north,Wnd_density_west,Wnd_density_east,Window_Option,Shading,Exterior_Surface,Form_factor,Windows,Walls,Win north area,Win south area,Win west area,Win east area,Wall area,Roof area,Ground area,imgName,Total CO2,MaterialCO2,OperationCO2,CO2 End of Life,Climate-location,Construction-preset,C3C4 MaterialCO2,D Material CO2,img
0,15671,4,0.17,0.25,0.1,0.449413,0.153226,0.248979,0.310594,1,0,2480.312947,1.550196,427.049104,1437.647183,88.289138,258.953377,35.509468,44.29712,1010.598079,521.332882,521.332882,s15671i0d92.jpg,1114400,394329.816014,720023.448921,28891.498483,2,1,6635.303329,-53504.865881,ID0.png
1,15672,3,0.17,0.25,0.1,0.282262,0.23159,0.248979,0.310594,1,0,2522.017737,1.576261,268.431248,1004.926604,61.432479,98.366542,62.622087,46.010141,736.495356,758.545567,758.545567,s15671i1d27.jpg,982738.896437,369669.361156,613069.535281,30693.695488,2,1,6941.72969,-56014.042556,ID1.png
2,15673,4,0.17,0.25,0.1,0.282262,0.23159,0.153464,0.310594,1,0,3536.174322,2.210109,510.232107,2015.073395,198.487878,241.917824,23.091554,46.73485,1504.841288,760.550464,760.550464,s15671i2d100.jpg,796756.371974,-19727.594132,816483.966106,15307.163479,1,3,263030.553849,-298711.544464,ID2.png
3,15674,3,0.17,0.25,0.1,0.465111,0.159953,0.153464,0.215079,1,0,4169.137673,2.605711,484.595305,1696.700201,107.213894,311.755774,27.326942,38.298696,1212.104896,1236.218736,1236.218736,s15671i3d30.jpg,903352.202501,6469.477359,896882.725142,19750.536282,1,3,276573.306372,-326319.282319,ID3.png
4,15675,4,0.17,0.25,0.1,0.465111,0.159953,0.257949,0.215079,1,0,2785.855147,1.741159,494.109108,1651.657974,108.856712,316.532749,37.473775,31.245873,1157.548866,567.098586,567.098586,s15671i4d104.jpg,889592.74688,7351.745625,882241.001255,12408.553094,1,3,205664.397928,-236148.841104,ID4.png
5,15676,3,0.17,0.25,0.1,0.29796,0.159953,0.257949,0.215079,1,0,2950.804735,1.844253,287.943913,1245.041011,69.059592,128.643739,49.209439,41.031144,957.097098,852.881862,852.881862,s15671i5d33.jpg,611442.089753,9510.597793,601931.49196,15010.680709,1,3,207317.660335,-246959.361461,ID5.png
6,15677,4,0.17,0.25,0.1,0.29796,0.238317,0.257949,0.319564,1,0,3983.991842,2.489995,586.617711,2165.475594,201.207212,305.231411,57.865233,22.313855,1578.857883,909.258124,909.258124,s15671i6d108.jpg,912413.167568,-30906.585683,943319.753251,17292.394907,1,3,295102.31118,-334745.327125,ID6.png
7,15678,3,0.17,0.25,0.1,0.480809,0.238317,0.162434,0.319564,1,0,4275.299471,2.672062,490.34231,1509.802485,127.115646,256.457966,35.98115,70.787549,1019.460175,1382.748493,1382.748493,s15671i7d33.jpg,1594700,568988.411751,1025700,50888.661992,2,1,10828.306295,-79982.197952,ID7.png
8,15679,4,0.17,0.25,0.1,0.480809,0.166681,0.162434,0.319564,1,0,2832.146993,1.770092,486.864442,1595.876688,102.994507,297.098602,29.242019,57.529313,1109.012246,618.135152,618.135152,s15671i8d112.jpg,1243400,440109.718858,803317.558735,33074.938076,2,1,7439.700217,-58451.187807,ID8.png
9,15680,3,0.17,0.25,0.1,0.313658,0.166681,0.162434,0.224049,1,0,3493.073303,2.183171,298.858571,1322.962743,76.732918,144.39487,32.669225,45.061558,1024.104172,1085.05528,1085.05528,s15671i9d39.jpg,1321100,484992.37825,836153.48672,42141.989565,2,1,9325.178722,-71698.257612,ID9.png
10,15681,5,0.17,0.25,0.1,0.313658,0.166681,0.266919,0.224049,1,0,3757.263887,2.34829,522.363896,2164.668571,141.564649,266.394262,62.19719,52.207794,1642.304675,796.297658,796.297658,s15671i10d145.jpg,1629600,600912.828377,1028700,49496.108303,2,1,10609.580375,-79501.444851,ID10.png
11,15682,3,0.17,0.25,0.1,0.496507,0.245045,0.266919,0.224049,1,0,2426.971461,1.516857,355.24733,1068.948662,90.785515,183.948478,43.771723,36.741613,713.701332,679.0114,679.0114,s15671i11d45.jpg,968373.672452,360556.793189,607816.879263,28242.551861,2,1,6479.803303,-53259.021038,ID11.png
13,15684,3,0.17,0.25,0.1,0.329355,0.173409,0.171404,0.328535,1,0,3661.695309,2.28856,342.390725,1364.66305,77.756036,147.682316,40.097136,76.855237,1022.272325,1148.51613,1148.51613,s15671i13d45.jpg,767226.903654,-6299.672253,773526.575907,18454.897999,1,3,252533.10506,-299945.140018,ID13.png
